ground,season,scorecard_no,countries,runs,overs,innings_x,team1_inn1,team2_inn1,first_inn_lead_of_team1,team1_inn2,team2_inn2,team1_inn1_over,team2_inn1_over,total_day,bat_first,field_first,innings_y,team_no,country_won,won
Melbourne,1897/98,Test # 54,Australia,520,185,1st INNINGS,520,0,205,150,0,185,0,5,Australia,0,1st INNINGS,1,Australia,1
Melbourne,1897/98,Test # 54,England,315,119.5,1st INNINGS,0,315,-205,0,0,0,119.5,5,Australia,0,1st INNINGS,2,Australia,0
Adelaide,1897/98,Test # 55,Australia,573,214.2,1st INNINGS,573,0,295,282,0,214.2,0,6,Australia,0,1st INNINGS,1,Australia,1
Adelaide,1897/98,Test # 55,England,278,126.5,1st INNINGS,0,278,-295,0,0,0,126.5,6,Australia,0,1st INNINGS,2,Australia,0
Melbourne,1897/98,Test # 56,Australia,323,101.4,1st INNINGS,323,0,149,263,0,101.4,0,5,Australia,0,1st INNINGS,1,Australia,1
Melbourne,1897/98,Test # 56,England,174,61.1,1st INNINGS,0,174,-149,0,115,0,61.1,5,Australia,0,1st INNINGS,2,Australia,0
Sydney,1897/98,Test # 57,England,335,129.2,1st INNINGS,335,0,96,178,0,129.2,0,5,England,0,1st INNINGS,2,Australia,0
Sydney,1897/98,Test # 57,Australia,239,100.1,1st INNINGS,0,239,-96,0,276,0,100.1,5,England,0,1st INNINGS,1,Australia,1
Old,1898/99,Test # 58,England,145,77.2,1st INNINGS,145,0,-106,237,0,77.2,0,3,England,0,1st INNINGS,2,England,1
Old,1898/99,Test # 58,South Africa,251,84.1,1st INNINGS,0,251,106,0,99,0,84.1,3,England,0,1st INNINGS,1,England,0
"Newlands,",1898/99,Test # 59,England,92,48,1st INNINGS,92,0,-85,330,0,48,0,4,England,0,1st INNINGS,2,England,1
"Newlands,",1898/99,Test # 59,South Africa,177,57.2,1st INNINGS,0,177,85,0,35,0,57.2,4,England,0,1st INNINGS,1,England,0
Trent,1899,Test # 60,Australia,252,152.2,1st INNINGS,252,0,59,230,0,152.2,0,3,Australia,0,1st INNINGS,2,drawn,2
Trent,1899,Test # 60,England,193,90.4,1st INNINGS,0,193,-59,0,155,0,90.4,3,Australia,0,1st INNINGS,1,drawn,2
"Lord's,",1899,Test # 61,England,206,80.1,1st INNINGS,206,0,-215,240,0,80.1,0,3,England,0,1st INNINGS,1,Australia,0
"Lord's,",1899,Test # 61,Australia,421,170.1,1st INNINGS,0,421,215,0,28,0,170.1,3,England,0,1st INNINGS,2,Australia,1
"Headingley,",1899,Test # 62,Australia,172,77.1,1st INNINGS,172,0,-48,224,0,77.1,0,3,Australia,0,1st INNINGS,2,drawn,2
"Headingley,",1899,Test # 62,England,220,118.3,1st INNINGS,0,220,48,0,19,0,118.3,3,Australia,0,1st INNINGS,1,drawn,2
Old,1899,Test # 63,England,372,141.1,1st INNINGS,372,0,176,346,0,141.1,0,3,England,0,1st INNINGS,1,drawn,2
Old,1899,Test # 63,Australia,196,82.3,1st INNINGS,0,196,-176,0,94,0,82.3,3,England,0,1st INNINGS,2,drawn,2
Kennington,1899,Test # 64,England,576,193.4,1st INNINGS,576,0,224,254,0,193.4,0,3,England,0,1st INNINGS,1,drawn,2
Kennington,1899,Test # 64,Australia,352,143.3,1st INNINGS,0,352,-224,0,0,0,143.3,3,England,0,1st INNINGS,2,drawn,2
Sydney,1901/02,Test # 65,England,464,186,1st INNINGS,464,0,296,172,0,186,0,4,England,0,1st INNINGS,2,England,1
Sydney,1901/02,Test # 65,Australia,168,72.1,1st INNINGS,0,168,-296,0,0,0,72.1,4,England,0,1st INNINGS,1,England,0
Melbourne,1901/02,Test # 66,Australia,112,32.1,1st INNINGS,112,0,51,353,0,32.1,0,4,0,England,1st INNINGS,1,Australia,1
Melbourne,1901/02,Test # 66,England,61,15.4,1st INNINGS,0,61,-51,0,175,0,15.4,4,0,England,1st INNINGS,2,Australia,0
Adelaide,1901/02,Test # 67,England,388,170,1st INNINGS,388,0,67,247,0,170,0,7,England,0,1st INNINGS,2,Australia,0
Adelaide,1901/02,Test # 67,Australia,321,113,1st INNINGS,0,321,-67,0,315,0,113,7,England,0,1st INNINGS,1,Australia,1
Sydney,1901/02,Test # 68,England,317,138.2,1st INNINGS,317,0,18,99,0,138.2,0,5,England,0,1st INNINGS,2,Australia,0
Sydney,1901/02,Test # 68,Australia,299,139,1st INNINGS,0,299,-18,0,121,0,139,5,England,0,1st INNINGS,1,Australia,1
Melbourne,1901/02,Test # 69,Australia,144,53,1st INNINGS,144,0,-45,255,0,53,0,5,Australia,0,1st INNINGS,1,Australia,1
Melbourne,1901/02,Test # 69,England,189,67.3,1st INNINGS,0,189,45,0,178,0,67.3,5,Australia,0,1st INNINGS,2,Australia,0
"Edgbaston,",1902,Test # 70,England,376,142,1st INNINGS,376,0,340,46,0,142,0,3,England,0,1st INNINGS,1,drawn,2
"Edgbaston,",1902,Test # 70,Australia,36,23,1st INNINGS,0,36,-340,0,0,0,23,3,England,0,1st INNINGS,2,drawn,2
"Lord's,",1902,Test # 71,England,102,38,1st INNINGS,376,0,102,46,0,38,0,3,England,0,1st INNINGS,1,drawn,2
Bramall,1902,Test # 72,Australia,194,66.1,1st INNINGS,194,0,49,289,0,66.1,0,3,Australia,0,1st INNINGS,2,Australia,1
Bramall,1902,Test # 72,England,145,61.3,1st INNINGS,0,145,-49,0,195,0,61.3,3,Australia,0,1st INNINGS,1,Australia,0
Old,1902,Test # 73,Australia,299,76.1,1st INNINGS,299,0,37,86,0,76.1,0,3,Australia,0,1st INNINGS,2,Australia,1
Old,1902,Test # 73,England,262,114,1st INNINGS,0,262,-37,0,120,0,114,3,Australia,0,1st INNINGS,1,Australia,0
Kennington,1902,Test # 74,Australia,324,123.5,1st INNINGS,324,0,141,121,0,123.5,0,3,Australia,0,1st INNINGS,2,England,0
Kennington,1902,Test # 74,England,183,61,1st INNINGS,0,183,-141,0,263,0,61,3,Australia,0,1st INNINGS,1,England,1
Old,1902/03,Test # 75,South Africa,454,95,1st INNINGS,454,0,158,372,0,95,0,4,South Africa,0,1st INNINGS,1,drawn,2
Old,1902/03,Test # 75,Australia,296,51,1st INNINGS,0,296,-158,0,101,0,51,4,South Africa,0,1st INNINGS,2,drawn,2
Old,1902/03,Test # 76,Australia,175,55.1,1st INNINGS,175,0,-65,309,0,55.1,0,4,Australia,0,1st INNINGS,2,Australia,1
Old,1902/03,Test # 76,South Africa,240,53,1st INNINGS,0,240,65,0,85,0,53,4,Australia,0,1st INNINGS,1,Australia,0
"Newlands,",1902/03,Test # 77,Australia,252,70.5,1st INNINGS,252,0,167,225,0,70.5,0,4,Australia,0,1st INNINGS,2,Australia,1
"Newlands,",1902/03,Test # 77,South Africa,85,33.2,1st INNINGS,0,85,-167,0,59,0,33.2,4,Australia,0,1st INNINGS,1,Australia,0
Sydney,1903/04,Test # 78,Australia,285,118.2,1st INNINGS,285,0,-292,485,0,118.2,0,7,Australia,0,1st INNINGS,1,England,0
Sydney,1903/04,Test # 78,England,577,181.2,1st INNINGS,0,577,292,0,194,0,181.2,7,Australia,0,1st INNINGS,2,England,1
